股名,股價
大統益,144.5
聯華,61.9
大成,53.0
卜蜂,99.2
統一,81.8
興農,43.90
聯華食,104.0
佳格,38.40
中華食,90.8
黑松,42.05
茂生,51.0
杏昌,138.5
生達,66.1
中化,21.45
太醫,86.5
中聯資,66.0
佳醫,87.5
邦特,126.0
健喬,36.75
中興電,177.5
華固,141.5
根基,80.0
潤弘,201.5
達欣工,53.9
台泥,34.50
巨路,112.0
長榮鋼,117.5
崑鼎,292.5
可寧衛,180.5
櫻花,92.5
日友,93.8
崇友,101.0
鋼聯,103.5
捷流閥業,104.0
茂順,115.0
世豐,59.1
永記,78.5
永豐實,50.5
中租-KY,143.0
裕融,151.0
和潤,98.2
兆豐金,38.85
台中銀,17.45
台積電,934
崇越,260.5
中美晶,186.5
信邦,297.5
華立,123.5
神基,102.0
晶焱,85.8
大聯大,83.6
聯強,70.5
中菲,113.5
精誠,114.0
文曄,103.5
日電貿,62.5
關貿,73.3
零壹,93.6
邁達特,45.00
普萊德,152.0
三福化,117.5
達興材,135.0
桂盟,139.5
中菲行,87.4
台驊,89.0
元大金,32.60
中信金,34.70
永豐金,26.15
花仙子,53.9
永信,54.8
聚鼎,56.1
世鎧,46.70
泰山,20.25
生泰,93.3
晟德,45.20
嘉泥,17.50
福壽,17.30
凌群,55.2
旭富,91.0
承業醫,43.00
盛弘,30.50
新鼎,182.0
凡甲,221.5
京城銀,52.7
信紘科,175.0
開發金,15.45
美吾華,23.20
南僑,57.4
漢科,94.8
長榮航太,96.7
耕興,215.0
資通,50.3
大盤,"21,469.00"
50,175.85
