股名,股價
中租-KY,143.0
和潤,98.2
和潤甲,93.7
裕融,151.0
台中銀,17.45
兆豐金,38.85
中信金,34.70
第一金,26.85
臺企銀,15.80
京城銀,52.7
和潤乙,94.6
永豐金,26.15
合庫金,26.55
聯邦銀,14.65
元大金,32.60
中菲行,87.4
捷迅,76.5
台驊,89.0
三陽,73.2
長榮航太,96.7
桂盟,139.5
聯強,70.5
華立,123.5
日電貿,62.5
文曄,103.5
大聯大,83.6
中碳,99.0
奇鈦科,58.0
新至陞,128.5
中聯資,66.0
鋼聯,103.5
永記,78.5
三福化,117.5
光洋科,58.2
明基材,28.25
捷流閥業,104.0
茂順,115.0
鑫永銓,98.3
世豐,59.1
世鎧,46.70
中鋼,22.30
榮剛,45.85
長榮鋼,117.5
崑鼎,292.5
可寧衛,180.5
日友,93.8
中興電,177.5
台汽電,43.75
久陽,24.00
櫻花,92.5
崇友,101.0
花仙子,53.9
全國電,84.0
永豐實,50.5
台積電,934
中美晶,186.5
信紘科,175.0
崇越,260.5
信邦,297.5
凡甲,221.5
晶焱,85.8
耕興,215.0
致茂,292.0
達興材,135.0
臺慶科,131.0
普萊德,152.0
神基,102.0
精誠,114.0
中菲,113.5
漢科,94.8
零壹,93.6
資通,50.3
凌群,55.2
關貿,73.3
邁達特,45.00
緯軟,113.5
新鼎,182.0
巨路,112.0
飛捷,87.2
中保科,132.5
台泥,34.50
華固,141.5
達欣工,53.9
巨漢,151.0
潤弘,201.5
根基,80.0
皇翔,54.3
雲品,57.3
鈺齊-KY,115.0
杏昌,138.5
佳醫,87.5
邦特,126.0
盛弘,30.50
生達,66.1
永信,54.8
中化,21.45
旭富,91.0
生泰,93.3
太醫,86.5
承業醫,43.00
美吾華,23.20
健喬,36.75
溫士頓無價格,17.50
聯華,61.9
聯華食,104.0
卜蜂,99.2
大成,53.0
南僑,57.4
茂生,51.0
黑松,42.05
中華食,90.8
統一,81.8
興農,43.90
德記,42.10
三商餐飲無價格,17.50
佳格,38.40
大統益,144.5
